time,hours_since_previous,mag,mag_previous
2015-01-02 03:00:00,1,2.91,2.38
2015-01-02 06:00:00,3,2.97,2.91
2015-01-02 07:00:00,1,2.15,2.97
2015-01-02 13:00:00,6,2.21,2.15
2015-01-02 16:00:00,3,2.81,2.21
2015-01-03 00:00:00,8,2.54,2.81
2015-01-03 05:00:00,5,2.6,2.54
2015-01-03 09:00:00,4,2.49,2.6
2015-01-03 14:00:00,5,3.27,2.49
2015-01-03 16:00:00,2,2.77,3.27
2015-01-03 19:00:00,3,2.05,2.77
2015-01-03 22:00:00,3,2.38,2.05
2015-01-04 02:00:00,4,3.03,2.38
2015-01-04 03:00:00,1,4.25,3.03
2015-01-04 09:00:00,6,2.51,4.25
2015-01-04 15:00:00,6,2.59,2.51
2015-01-04 19:00:00,4,2.26,2.59
2015-01-05 02:00:00,7,2.43,2.26
2015-01-05 03:00:00,1,2.34,2.43
2015-01-05 07:00:00,4,2.6,2.34
2015-01-06 01:00:00,18,2.21,2.6
2015-01-06 03:00:00,2,2.59,2.21
2015-01-06 09:00:00,6,3.19,2.59
2015-01-06 10:00:00,1,2.14,3.19
2015-01-06 12:00:00,2,2.45,2.14
2015-01-06 16:00:00,4,2.05,2.45
2015-01-07 01:00:00,9,2.7,2.05
2015-01-07 09:00:00,8,2.06,2.7
2015-01-07 12:00:00,3,2.06,2.06
2015-01-07 18:00:00,6,2.36,2.06
2015-01-07 19:00:00,1,2.7,2.36
2015-01-07 22:00:00,3,2.64,2.7
2015-01-08 10:00:00,12,2.49,2.64
2015-01-08 23:00:00,13,2.77,2.49
2015-01-09 02:00:00,3,2.48,2.77
2015-01-09 16:00:00,14,2.19,2.48
2015-01-09 19:00:00,3,2.3,2.19
2015-01-10 10:00:00,15,2.86,2.3
2015-01-10 11:00:00,1,2.16,2.86
2015-01-10 13:00:00,2,2.77,2.16
2015-01-10 16:00:00,3,2.45,2.77
2015-01-10 23:00:00,7,2.96,2.45
2015-01-11 01:00:00,2,2.11,2.96
2015-01-11 05:00:00,4,2.19,2.11
2015-01-11 06:00:00,1,2.04,2.19
2015-01-11 08:00:00,2,2.54,2.04
2015-01-11 10:00:00,2,2.21,2.54
2015-01-11 15:00:00,5,2.02,2.21
2015-01-11 21:00:00,6,2.01,2.02
2015-01-12 19:00:00,22,2.48,2.01
2015-01-12 20:00:00,1,2.57,2.48
2015-01-13 05:00:00,9,2.1,2.57
2015-01-13 11:00:00,6,2.63,2.1
2015-01-13 12:00:00,1,2.38,2.63
2015-01-13 17:00:00,5,2.13,2.38
2015-01-13 20:00:00,3,2.24,2.13
2015-01-14 07:00:00,11,2.0,2.24
2015-01-14 10:00:00,3,4.28,2.0
2015-01-14 12:00:00,2,2.49,4.28
2015-01-14 13:00:00,1,2.65,2.49
2015-01-14 17:00:00,4,2.16,2.65
2015-01-14 19:00:00,2,2.4,2.16
2015-01-14 22:00:00,3,2.05,2.4
2015-01-14 23:00:00,1,2.0,2.05
2015-01-15 01:00:00,2,2.45,2.0
2015-01-15 02:00:00,1,2.2,2.45
2015-01-15 13:00:00,11,2.31,2.2
2015-01-15 16:00:00,3,2.4,2.31
2015-01-15 23:00:00,7,2.24,2.4
2015-01-16 10:00:00,11,2.56,2.24
2015-01-16 15:00:00,5,2.35,2.56
2015-01-16 16:00:00,1,2.18,2.35
2015-01-16 19:00:00,3,2.4,2.18
2015-01-16 20:00:00,1,2.37,2.4
2015-01-17 10:00:00,14,2.26,2.37
2015-01-17 15:00:00,5,2.29,2.26
2015-01-17 19:00:00,4,2.63,2.29
2015-01-17 21:00:00,2,2.06,2.63
2015-01-18 13:00:00,16,3.68,2.06
2015-01-18 23:00:00,10,2.12,3.68
2015-01-19 02:00:00,3,2.46,2.12
2015-01-19 08:00:00,6,2.98,2.46
2015-01-19 10:00:00,2,2.71,2.98
2015-01-19 16:00:00,6,2.49,2.71
2015-01-19 19:00:00,3,2.76,2.49
2015-01-20 13:00:00,18,4.43,2.76
2015-01-20 18:00:00,5,2.04,4.43
2015-01-21 00:00:00,6,2.07,2.04
2015-01-21 01:00:00,1,2.07,2.07
2015-01-21 05:00:00,4,2.03,2.07
2015-01-21 21:00:00,16,2.4,2.03
2015-01-22 04:00:00,7,2.11,2.4
2015-01-22 17:00:00,13,2.55,2.11
2015-01-23 00:00:00,7,2.03,2.55
2015-01-23 09:00:00,9,2.78,2.03
2015-01-23 16:00:00,7,2.59,2.78
2015-01-23 21:00:00,5,2.49,2.59
2015-01-23 23:00:00,2,2.14,2.49
2015-01-24 10:00:00,11,2.32,2.14
2015-01-24 21:00:00,11,2.3,2.32
2015-01-25 03:00:00,6,3.16,2.3
2015-01-25 16:00:00,13,2.22,3.16
2015-01-25 17:00:00,1,2.46,2.22
2015-01-25 18:00:00,1,3.2,2.46
2015-01-25 20:00:00,2,2.25,3.2
2015-01-26 02:00:00,6,2.88,2.25
2015-01-26 14:00:00,12,2.48,2.88
2015-01-26 15:00:00,1,2.67,2.48
2015-01-27 01:00:00,10,2.21,2.67
2015-01-27 05:00:00,4,2.04,2.21
2015-01-27 06:00:00,1,2.14,2.04
2015-01-27 08:00:00,2,3.45,2.14
2015-01-27 10:00:00,2,3.0,3.45
2015-01-27 14:00:00,4,2.33,3.0
2015-01-28 01:00:00,11,2.06,2.33
2015-01-28 02:00:00,1,2.49,2.06
2015-01-28 11:00:00,9,3.19,2.49
2015-01-28 12:00:00,1,2.4,3.19
2015-01-28 14:00:00,2,2.85,2.4
2015-01-28 18:00:00,4,2.29,2.85
2015-01-28 21:00:00,3,5.72,2.29
2015-01-28 22:00:00,1,2.85,5.72
2015-01-28 23:00:00,1,2.16,2.85
2015-01-29 00:00:00,1,2.88,2.16
2015-01-29 01:00:00,1,2.71,2.88
2015-01-29 02:00:00,1,2.38,2.71
2015-01-29 03:00:00,1,2.01,2.38
2015-01-29 04:00:00,1,2.08,2.01
2015-01-29 06:00:00,2,2.64,2.08
2015-01-29 07:00:00,1,2.27,2.64
2015-01-29 08:00:00,1,2.74,2.27
2015-01-29 13:00:00,5,2.46,2.74
2015-01-29 17:00:00,4,2.39,2.46
2015-01-29 19:00:00,2,4.25,2.39
2015-01-30 00:00:00,5,2.96,4.25
2015-01-30 05:00:00,5,2.45,2.96
2015-01-30 06:00:00,1,2.04,2.45
2015-01-30 16:00:00,10,2.61,2.04
2015-01-30 21:00:00,5,2.8,2.61
2015-01-30 22:00:00,1,3.06,2.8
2015-01-30 23:00:00,1,2.09,3.06
2015-01-31 01:00:00,2,2.94,2.09
2015-01-31 02:00:00,1,2.51,2.94
2015-01-31 15:00:00,13,2.05,2.51
2015-01-31 20:00:00,5,2.11,2.05
2015-02-01 02:00:00,6,2.73,2.11
2015-02-01 05:00:00,3,2.22,2.73
2015-02-01 06:00:00,1,2.07,2.22
2015-02-01 11:00:00,5,2.51,2.07
2015-02-01 13:00:00,2,2.89,2.51
2015-02-01 16:00:00,3,2.43,2.89
2015-02-01 19:00:00,3,2.01,2.43
2015-02-01 21:00:00,2,2.03,2.01
2015-02-02 03:00:00,6,2.98,2.03
2015-02-02 08:00:00,5,2.11,2.98
2015-02-02 09:00:00,1,2.18,2.11
2015-02-02 16:00:00,7,2.66,2.18
2015-02-02 19:00:00,3,2.49,2.66
2015-02-02 21:00:00,2,2.35,2.49
2015-02-02 23:00:00,2,2.01,2.35
2015-02-03 01:00:00,2,2.07,2.01
2015-02-03 02:00:00,1,2.64,2.07
2015-02-03 06:00:00,4,2.7,2.64
2015-02-03 08:00:00,2,2.08,2.7
2015-02-03 16:00:00,8,2.89,2.08
2015-02-03 19:00:00,3,2.18,2.89
2015-02-03 21:00:00,2,2.13,2.18
2015-02-03 22:00:00,1,2.8,2.13
2015-02-04 02:00:00,4,2.05,2.8
2015-02-04 05:00:00,3,2.21,2.05
2015-02-04 07:00:00,2,2.04,2.21
2015-02-04 19:00:00,12,2.62,2.04
2015-02-05 04:00:00,9,2.6,2.62
2015-02-05 19:00:00,15,2.12,2.6
2015-02-05 21:00:00,2,2.16,2.12
2015-02-05 23:00:00,2,2.34,2.16
2015-02-06 00:00:00,1,2.06,2.34
2015-02-06 07:00:00,7,2.06,2.06
2015-02-06 11:00:00,4,2.9,2.06
2015-02-06 15:00:00,4,2.44,2.9
2015-02-06 17:00:00,2,2.1,2.44
2015-02-06 18:00:00,1,2.61,2.1
2015-02-06 20:00:00,2,2.15,2.61
2015-02-07 04:00:00,8,2.26,2.15
2015-02-07 10:00:00,6,2.27,2.26
2015-02-07 11:00:00,1,2.23,2.27
2015-02-07 12:00:00,1,2.12,2.23
2015-02-07 14:00:00,2,3.28,2.12
2015-02-07 18:00:00,4,2.0,3.28
2015-02-07 19:00:00,1,2.69,2.0
2015-02-07 20:00:00,1,2.19,2.69
2015-02-08 08:00:00,12,2.36,2.19
2015-02-08 09:00:00,1,2.09,2.36
2015-02-08 12:00:00,3,2.19,2.09
2015-02-08 13:00:00,1,2.66,2.19
2015-02-08 14:00:00,1,2.32,2.66
2015-02-08 16:00:00,2,2.63,2.32
2015-02-08 17:00:00,1,2.5,2.63
2015-02-08 22:00:00,5,2.95,2.5
2015-02-09 02:00:00,4,2.51,2.95
2015-02-09 05:00:00,3,2.5,2.51
2015-02-09 06:00:00,1,2.25,2.5
2015-02-09 08:00:00,2,3.28,2.25
2015-02-09 15:00:00,7,2.98,3.28
2015-02-10 05:00:00,14,2.21,2.98
2015-02-10 07:00:00,2,2.16,2.21
2015-02-10 09:00:00,2,2.55,2.16
2015-02-10 18:00:00,9,2.57,2.55
2015-02-11 04:00:00,10,2.02,2.57
2015-02-11 06:00:00,2,2.0,2.02
2015-02-11 07:00:00,1,2.93,2.0
2015-02-11 12:00:00,5,2.53,2.93
2015-02-11 13:00:00,1,2.45,2.53
2015-02-12 04:00:00,15,2.17,2.45
2015-02-12 05:00:00,1,2.83,2.17
2015-02-12 12:00:00,7,2.46,2.83
2015-02-12 14:00:00,2,2.8,2.46
2015-02-13 04:00:00,14,2.02,2.8
2015-02-13 17:00:00,13,2.14,2.02
2015-02-14 04:00:00,11,2.66,2.14
2015-02-14 14:00:00,10,2.19,2.66
2015-02-15 00:00:00,10,2.24,2.19
2015-02-15 07:00:00,7,2.37,2.24
2015-02-15 11:00:00,4,2.4,2.37
2015-02-15 17:00:00,6,2.19,2.4
2015-02-16 00:00:00,7,2.36,2.19
2015-02-16 03:00:00,3,2.3,2.36
2015-02-16 11:00:00,8,2.59,2.3
2015-02-16 14:00:00,3,2.03,2.59
2015-02-16 15:00:00,1,2.05,2.03
2015-02-16 20:00:00,5,2.03,2.05
2015-02-17 19:00:00,23,2.07,2.03
